date,state,location,city_or_county,cases_total,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_hnpi,cases_multiracial,cases_other,cases_unknown,cases_ethnicity_hispanic,cases_ethnicity_nonhispanic,cases_ethnicity_unknown,deaths_total,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_aian,deaths_hnpi,deaths_multiracial,deaths_other,deaths_unknown,deaths_ethnicity_hispanic,deaths_ethnicity_nonhispanic,deaths_ethnicity_unknown,case_fatality_rate,daily_new_cases,daily_percentincr_cases,weekly_new_cases,weekly_percentincr_cases,daily_new_deaths,daily_percentincr_deaths,weekly_new_deaths,weekly_percentincr_deaths
6/9/2020,CA,San Jose,City,3017,482,60,1267,573,,30,,150,482,1267,1295,482,146,38,8,46,48,,1,,2,0,46,97,0,4.84,44,1.48,205,7.29,1,0.69,,
6/10/2020,CA,San Jose,City,3032,485,60,1273,576,,30,,151,454,1273,1302,454,146,38,8,46,48,,0,,2,0,46,96,0,4.82,15,0.5,200,7.06,0,0,2,1.39
6/11/2020,CA,San Jose,City,3063,483,61,1274,575,,30,,153,483,1274,1302,483,148,38,8,47,49,,1,,1,1,47,97,1,4.83,31,1.02,213,7.47,2,1.37,4,2.78
6/12/2020,CA,San Jose,City,3117,492,66,1327,554,,31,,155,492,1327,1298,492,150,40,7,46,49,,1,,1,1,46,98,1,4.81,54,1.76,225,7.78,2,1.35,6,4.17
6/13/2020,CA,San Jose,City,3157,505,63,1325,568,,31,,157,505,1325,1324,505,150,40,7,48,49,,0,,3,1,48,99,1,4.75,40,1.28,237,8.12,0,0,7,4.9
6/14/2020,CA,San Jose,City,3197,505,63,1361,569,,31,,159,505,1361,1327,505,151,39,8,48,52,,,,3,0,48,102,0,4.72,40,1.27,255,8.67,1,0.67,7,4.86
6/15/2020,CA,San Jose,City,3230,510,64,1375,574,,32,,161,510,1375,1341,510,151,39,8,48,52,,,,3,0,48,102,0,4.67,33,1.03,257,8.64,0,0,6,4.14
6/16/2020,CA,San Jose,City,3254,514,65,1386,579,,32,,162,514,1386,1352,514,151,39,8,48,52,,,,3,0,48,102,0,4.64,24,0.74,237,7.86,0,0,5,3.42
6/17/2020,CA,San Jose,City,3288,519,55,1407,581,,19,,174,529,1407,1348,529,151,39,8,48,52,,,,3,0,48,102,0,4.59,34,1.04,256,8.44,0,0,5,3.42
6/18/2020,CA,San Jose,City,3363,521,60,1436,588,,20,,178,561,1436,1367,561,152,39,7,48,52,,,,2,1,48,100,1,4.52,75,2.28,300,9.79,1,0.66,4,2.7
6/19/2020,CA,San Jose,City,3398,523,61,1454,591,,20,,180,567,1454,1375,567,152,39,7,48,53,,,,2,1,48,101,1,4.47,35,1.04,281,9.02,0,0,2,1.33
6/20/2020,CA,San Jose,City,3458,622,62,1476,594,,20,,183,591,1476,1481,591,152,40,7,48,53,,,,2,2,48,102,2,4.4,60,1.77,301,9.53,0,0,2,1.33
6/21/2020,CA,San Jose,City,3547,542,63,1525,599,,21,,184,610,1525,1409,610,152,40,7,48,53,,,,2,2,48,102,2,4.29,89,2.57,350,10.95,0,0,1,0.66
6/22/2020,CA,San Jose,City,3606,551,61,1546,609,,21,,194,616,1546,1436,616,154,41,7,48,53,,,,3,2,48,104,2,4.27,59,1.66,376,11.64,2,1.32,3,1.99
6/23/2020,CA,San Jose,City,3727,559,63,1610,622,,22,,201,648,1610,1467,648,154,41,7,48,53,,,,3,2,48,104,2,4.13,121,3.36,473,14.54,0,0,3,1.99
6/24/2020,CA,San Jose,City,3832,574,68,1758,636,,22,,195,574,1758,1495,574,154,41,7,48,53,,,,3,2,48,104,2,4.02,105,2.82,544,16.55,0,0,3,1.99
6/25/2020,CA,San Jose,City,3888,583,69,1792,636,,23,,198,579,1792,1509,579,155,44,7,48,52,,,,3,1,48,106,1,3.99,56,1.46,525,15.61,1,0.65,3,1.97
6/26/2020,CA,San Jose,City,3984,597,75,1840,645,,21,,211,585,1840,1549,585,155,44,8,48,52,,,,3,0,48,107,0,3.89,96,2.47,586,17.25,0,0,3,1.97
6/27/2020,CA,San Jose,City,4125,618,78,1909,660,,24,,226,606,1909,1606,606,155,44,8,48,52,,,,3,0,48,107,0,3.76,141,3.54,667,19.29,0,0,3,1.97
6/28/2020,CA,San Jose,City,4162,624,79,1927,665,,24,,228,611,1927,1620,611,155,44,8,48,52,,,,3,0,48,107,0,3.72,37,0.9,615,17.34,0,0,3,1.97
6/29/2020,CA,San Jose,City,4265,635,85,1978,673,,25,,234,631,1978,1652,631,156,44,8,48,51,,,,2,3,48,105,3,3.66,103,2.47,659,18.28,1,0.65,2,1.3
6/30/2020,CA,San Jose,City,4370,646,87,2032,686,,26,,240,646,2032,1685,646,156,44,8,48,51,,,,2,3,48,105,3,3.57,105,2.46,643,17.25,0,0,2,1.3
7/1/2020,CA,San Jose,City,4572,653,96,2112,699,,32,,256,722,2112,1736,722,158,44,7,48,52,,,,3,4,48,106,4,3.46,202,4.62,740,19.31,2,1.28,4,2.6
7/2/2020,CA,San Jose,City,4750,676,95,2189,717,,33,,280,760,2189,1801,760,159,44,7,47,52,,,,3,6,47,106,6,3.35,178,3.89,862,22.17,1,0.63,4,2.58
7/3/2020,CA,San Jose,City,4849,690,96,2269,732,,33,,286,737,2269,1837,737,160,45,9,49,53,,,,3,1,49,110,1,3.3,99,2.08,865,21.71,1,0.63,5,3.23
7/5/2020,CA,San Jose,City,5273,737,107,2486,761,,34,,352,793,2486,1991,793,161,44,8,50,53,,,,2,4,50,107,4,3.05,,,1111,26.69,,,6,3.87
7/7/2020,CA,San Jose,City,5478,752,112,2563,765,,35,,386,862,2563,2050,862,165,46,8,51,54,,,,3,3,51,111,3,3.01,70,1.29,1108,25.35,1,0.61,9,5.77
7/8/2020,CA,San Jose,City,5552,761,113,2585,771,,36,,393,889,2585,2074,889,165,46,8,51,54,,,,3,3,51,111,3,2.97,74,1.35,980,21.43,0,0,7,4.43
7/9/2020,CA,San Jose,City,5678,776,115,2623,779,,38,,412,935,2623,2120,935,166,45,8,52,54,,,,4,3,52,111,3,2.92,126,2.27,928,19.54,1,0.61,7,4.4
7/10/2020,CA,San Jose,City,5863,793,117,2716,789,,39,,429,977,2716,2167,977,166,45,8,52,54,,,,4,3,52,111,3,2.83,185,3.26,1014,20.91,0,0,6,3.75
7/11/2020,CA,San Jose,City,5983,811,117,2759,798,,40,,455,997,2759,2221,997,166,45,8,52,54,,,,4,3,52,111,3,2.77,120,2.05,,,0,0,,
7/12/2020,CA,San Jose,City,6298,843,120,2888,813,,42,,498,1090,2888,2316,1090,166,45,8,52,54,,,,4,3,52,111,3,2.64,315,5.26,1025,19.44,0,0,5,3.11
7/13/2020,CA,San Jose,City,6542,870,121,2988,830,,43,,522,1144,2988,2386,1144,167,45,7,52,54,,,,4,5,52,110,5,2.55,244,3.87,1134,20.97,1,0.6,3,1.83
7/14/2020,CA,San Jose,City,6725,891,125,3086,845,,45,,548,1182,3086,2454,1182,170,47,8,53,55,,,,4,3,53,114,3,2.53,183,2.8,1247,22.76,3,1.8,5,3.03
7/16/2020,CA,San Jose,City,7046,922,131,3236,856,,49,,570,1278,3236,2528,1278,176,50,8,53,55,,,,4,6,53,117,6,2.5,95,1.37,1368,24.09,3,1.73,10,6.02
7/17/2020,CA,San Jose,City,7131,922,136,3268,862,,51,,581,1307,3268,2552,1307,177,50,8,54,54,,,,4,7,54,116,7,2.48,85,1.21,1268,21.63,1,0.57,11,6.63
7/19/2020,CA,San Jose,City,7456,961,143,3420,884,,52,,592,1400,3420,2632,1400,177,50,8,54,54,,,,4,7,54,116,7,2.37,156,2.14,1158,18.39,0,0,11,6.63
7/20/2020,CA,San Jose,City,7795,1003,147,3559,909,,53,,647,1473,3559,2759,1473,178,50,7,55,54,,,,5,7,55,116,7,2.28,339,4.55,1253,19.15,1,0.56,11,6.59
7/24/2020,CA,San Jose,City,8719,1101,162,4020,971,,60,,741,1664,4020,3035,1664,183,52,7,55,55,,,,4,4,55,118,4,2.1,,,1588,22.27,,,6,3.39
7/25/2020,CA,San Jose,City,8833,1130,165,4096,976,,61,,746,1659,4096,3078,1659,184,52,8,55,55,,,,5,6,55,120,6,2.08,114,1.31,1533,21,1,0.55,7,3.95
7/28/2020,CA,San Jose,City,9359,1160,168,4361,1001,,65,,804,1787,4361,3198,1787,185,58,7,56,56,,,,4,0,56,125,0,1.98,,,,,,,,
6/3/2020,CO,Denver County,County,5844,1536,607,3342,181,40,23,111,,4,3342,2498,4,239,101,40,76,11,1,1,5,,4,76,159,4,4.09,39,0.67,,,0,0,,
6/4/2020,CO,Denver County,County,5909,1548,620,3379,183,41,23,112,,3,3379,2527,3,285,121,48,90,14,1,1,5,,5,90,190,5,4.82,65,1.11,,,46,19.25,,
6/6/2020,CO,Denver County,County,5986,1538,616,3459,197,41,23,113,,,3459,2528,,288,121,48,93,14,2,2,6,,2,93,193,2,4.81,,,314,5.54,,,51,21.52
6/7/2020,CO,Denver County,County,6003,1542,618,3469,198,42,24,114,,,3469,2538,,288,121,48,93,14,2,2,6,,2,93,193,2,4.8,17,0.28,299,5.24,0,0,50,21.01
6/8/2020,CO,Denver County,County,6040,1552,622,3491,199,42,24,114,,,3491,2553,,295,126,48,95,14,2,2,6,,2,95,198,2,4.88,37,0.62,296,5.15,7,2.43,56,23.43
6/9/2020,CO,Denver County,County,6083,1563,626,3515,200,42,24,115,,,3515,2570,,295,127,48,94,14,2,2,6,,2,94,199,2,4.85,43,0.71,278,4.79,0,0,56,23.43
6/10/2020,CO,Denver County,County,6125,1574,630,3540,202,42,24,116,,,3540,2588,,297,128,48,95,14,2,2,6,,2,95,200,2,4.85,42,0.69,281,4.81,2,0.68,58,24.27
6/11/2020,CO,Denver County,County,6148,1580,633,3553,202,43,24,116,,,3553,2598,,299,127,47,100,13,2,2,5,,3,100,196,3,4.86,23,0.38,239,4.04,2,0.67,14,4.91
6/12/2020,CO,Denver County,County,6194,1591,637,3580,204,43,24,117,,,3580,2616,,301,127,48,101,13,1,1,5,,5,101,195,5,4.86,46,0.75,,,2,0.67,,
6/13/2020,CO,Denver County,County,6218,1598,640,3594,205,43,24,118,,,3594,2628,,301,127,48,101,13,1,1,5,,5,101,195,5,4.84,24,0.39,232,3.88,0,0,13,4.51
6/14/2020,CO,Denver County,County,6249,1574,637,3630,212,43,24,124,,5,3630,2614,5,301,127,48,101,13,1,1,5,,5,101,195,5,4.82,31,0.5,246,4.1,0,0,13,4.51
6/15/2020,CO,Denver County,County,6301,1587,642,3660,214,44,25,126,,3,3660,2638,3,305,128,49,103,13,1,1,5,,5,103,197,5,4.84,52,0.83,261,4.32,4,1.33,10,3.39
6/16/2020,CO,Denver County,County,6335,1596,646,3680,215,44,25,126,,3,3680,2652,3,304,130,48,101,13,1,1,5,,5,101,198,5,4.8,34,0.54,252,4.14,-1,-0.33,9,3.05
6/17/2020,CO,Denver County,County,6393,1623,639,3720,217,44,25,127,,,3720,2675,,304,130,48,101,13,1,1,5,,5,101,198,5,4.76,58,0.92,268,4.38,0,0,7,2.36
6/18/2020,CO,Denver County,County,6452,1638,638,3755,219,45,32,129,,,3755,2701,,304,130,48,101,13,1,1,5,,5,101,198,5,4.71,59,0.92,304,4.94,0,0,5,1.67
6/19/2020,CO,Denver County,County,6492,1648,636,3778,220,45,32,129,,4,3778,2710,4,304,130,48,101,13,1,1,5,,5,101,198,5,4.68,40,0.62,298,4.81,0,0,3,1
6/20/2020,CO,Denver County,County,6527,1657,639,3798,221,45,32,130,,5,3798,2724,5,304,130,48,101,13,1,1,5,,5,101,198,5,4.66,35,0.54,309,4.97,0,0,3,1
6/21/2020,CO,Denver County,County,6534,1659,640,3802,228,45,32,137,,,3802,2741,,304,130,48,101,13,1,1,5,,5,101,198,5,4.65,7,0.11,285,4.56,0,0,3,1
6/22/2020,CO,Denver County,County,6534,1659,640,3802,228,45,32,137,,,3802,2741,,304,130,48,101,13,1,1,5,,5,101,198,5,4.65,0,0,233,3.7,0,0,-1,-0.33
6/23/2020,CO,Denver County,County,6652,1682,645,3878,232,39,26,133,,17,3878,2757,17,305,132,48,100,13,1,1,5,,5,100,200,5,4.59,118,1.81,317,5,1,0.33,1,0.33
6/24/2020,CO,Denver County,County,6715,1705,651,3901,235,47,26,147,,3,3901,2811,3,305,133,49,98,13,1,1,5,,5,98,202,5,4.54,63,0.95,322,5.04,0,0,1,0.33
6/25/2020,CO,Denver County,County,6805,1864,694,3701,251,47,34,210,,4,3701,3100,4,305,144,46,87,13,1,1,5,,8,87,210,8,4.48,90,1.34,353,5.47,0,0,1,0.33
6/26/2020,CO,Denver County,County,6826,1871,694,3701,251,47,34,210,,18,3701,3107,18,306,146,46,86,13,1,1,8,,5,86,215,5,4.48,21,0.31,334,5.14,1,0.33,2,0.66
6/27/2020,CO,Denver County,County,6906,1906,697,3749,255,48,34,214,,3,3749,3154,3,307,147,46,86,13,1,1,8,,5,86,216,5,4.45,80,1.17,379,5.81,1,0.33,3,0.99
6/28/2020,CO,Denver County,County,6906,1906,697,3749,255,48,34,214,,3,3749,3154,3,307,147,46,86,13,1,1,8,,5,86,216,5,4.45,0,0,372,5.69,0,0,3,0.99
6/29/2020,CO,Denver County,County,6993,1937,706,3790,258,48,34,216,,4,3790,3199,4,309,150,46,87,13,1,1,8,,3,87,219,3,4.42,87,1.26,459,7.02,2,0.65,5,1.64
7/1/2020,CO,Denver County,County,7046,1958,711,3818,260,49,35,218,,,3818,3231,,309,150,46,87,13,1,1,8,,3,87,219,3,4.39,,,331,4.93,,,4,1.31
7/2/2020,CO,Denver County,County,7131,1989,720,3857,256,49,35,221,,4,3857,3270,4,318,154,47,89,13,1,1,8,,5,89,224,5,4.46,85,1.21,326,4.79,9,2.91,13,4.26
7/3/2020,CO,Denver County,County,7242,2056,731,3903,260,50,36,195,,11,3903,3328,11,321,155,47,89,13,3,1,6,,7,89,225,7,4.43,111,1.56,416,6.09,3,0.94,15,4.9
7/6/2020,CO,Denver County,County,7369,2114,736,3957,265,51,36,206,,4,3957,3408,4,321,156,47,89,14,3,1,7,,4,89,228,4,4.36,,,376,5.38,,,12,3.88
7/7/2020,CO,Denver County,County,7441,2135,744,4003,260,52,37,208,,2,4003,3436,2,323,157,47,90,14,3,1,7,,4,90,229,4,4.34,72,0.98,,,2,0.62,,
7/8/2020,CO,Denver County,County,7526,2167,752,4033,270,52,37,210,,5,4033,3488,5,323,159,47,89,13,3,1,7,,4,89,230,4,4.29,85,1.14,480,6.81,0,0,14,4.53
7/9/2020,CO,Denver County,County,7565,2178,764,4054,264,52,37,211,,5,4054,3506,5,323,159,47,89,13,3,1,7,,4,89,230,4,4.27,39,0.52,434,6.09,0,0,5,1.57
7/10/2020,CO,Denver County,County,7723,2239,764,4131,270,54,38,216,,11,4131,3581,11,395,195,58,109,16,4,1,8,,4,109,282,4,5.11,158,2.09,481,6.64,72,22.29,74,23.05
7/11/2020,CO,Denver County,County,7723,2239,764,4131,270,54,38,216,,11,4131,3581,11,395,199,54,108,18,3,1,9,,3,108,284,3,5.11,0,0,,,0,0,,
7/12/2020,CO,Denver County,County,7833,2271,775,4190,274,54,39,219,,11,4190,3632,11,395,199,54,108,18,3,1,9,,3,108,284,3,5.04,110,1.42,,,0,0,,
7/13/2020,CO,Denver County,County,7882,2301,780,4208,275,55,39,220,,4,4208,3670,4,396,199,54,108,18,3,1,9,,4,108,284,4,5.02,49,0.63,513,6.96,1,0.25,75,23.36
7/14/2020,CO,Denver County,County,7968,2334,780,4254,278,55,39,223,,5,4254,3709,5,398,199,54,111,18,3,1,9,,3,111,284,3,4.99,86,1.09,527,7.08,2,0.51,75,23.22
7/15/2020,CO,Denver County,County,8021,2350,786,4283,280,56,40,224,,2,4283,3736,2,399,201,54,110,17,3,1,9,,4,110,285,4,4.97,53,0.67,495,6.58,1,0.25,76,23.53
7/16/2020,CO,Denver County,County,8074,2373,791,4303,282,56,40,226,,3,4303,3768,3,399,201,54,110,17,3,1,9,,4,110,285,4,4.94,53,0.66,509,6.73,0,0,76,23.53
7/17/2020,CO,Denver County,County,8183,2413,785,4353,294,57,40,229,,12,4353,3818,12,399,202,54,110,17,3,1,9,,3,110,286,3,4.88,109,1.35,460,5.96,0,0,4,1.01
7/18/2020,CO,Denver County,County,8262,2437,793,4395,297,57,41,231,,11,4395,3856,11,399,202,54,110,17,3,1,9,,3,110,286,3,4.83,79,0.97,539,6.98,0,0,4,1.01
7/19/2020,CO,Denver County,County,8291,2445,795,4410,298,58,41,232,,12,4410,3869,12,399,202,54,110,17,3,1,9,,3,110,286,3,4.81,29,0.35,458,5.85,0,0,4,1.01
7/20/2020,CO,Denver County,County,8386,2482,805,4461,293,58,41,234,,12,4461,3913,12,402,204,53,111,18,3,1,8,,4,111,287,4,4.79,95,1.15,504,6.39,3,0.75,6,1.52
7/21/2020,CO,Denver County,County,8499,2532,815,4504,297,59,42,237,,13,4504,3982,13,405,206,54,112,18,3,1,8,,3,112,290,3,4.77,113,1.35,531,6.66,3,0.75,7,1.76
7/22/2020,CO,Denver County,County,8657,2579,831,4596,302,60,43,242,,4,4596,4057,4,405,206,54,112,18,3,1,8,,3,112,290,3,4.68,158,1.86,636,7.93,0,0,6,1.5
7/23/2020,CO,Denver County,County,8799,2622,844,4663,307,61,43,246,,13,4663,4123,13,405,206,54,112,18,3,1,8,,3,112,290,3,4.6,142,1.64,725,8.98,0,0,6,1.5
7/24/2020,CO,Denver County,County,8957,2687,859,4738,313,62,44,250,,4,4738,4215,4,406,206,54,112,18,3,1,8,,4,112,290,4,4.53,158,1.8,774,9.46,1,0.25,7,1.75
7/25/2020,CO,Denver County,County,9066,2719,870,4795,317,63,45,253,,4,4795,4267,4,406,206,54,112,18,3,1,8,,4,112,290,4,4.48,109,1.22,804,9.73,0,0,7,1.75
7/27/2020,CO,Denver County,County,9234,2779,877,4884,323,64,46,258,,3,4884,4347,3,410,207,54,114,18,3,1,9,,4,114,292,4,4.44,,,848,10.11,,,8,1.99
7/28/2020,CO,Denver County,County,9365,2828,889,4954,327,65,46,262,,,4954,4417,,410,207,54,114,18,3,1,9,,4,114,292,4,4.38,131,1.42,866,10.19,0,0,5,1.23
7/29/2020,CO,Denver County,County,9430,2857,895,4979,330,66,47,264,,,4979,4459,,411,207,56,114,18,3,1,9,,3,114,294,3,4.36,65,0.69,773,8.93,1,0.24,6,1.48
7/30/2020,CO,Denver County,County,9484,2873,900,5007,331,66,47,265,,,5007,4482,,411,207,56,114,18,3,1,9,,3,114,294,3,4.33,54,0.57,685,7.78,0,0,6,1.48
7/31/2020,CO,Denver County,County,9590,2924,901,5044,335,67,47,268,,4,5044,4542,4,412,206,57,115,16,3,1,10,,4,115,293,4,4.3,106,1.12,633,7.07,1,0.24,6,1.48
8/1/2020,CO,Denver County,County,9675,2950,909,5089,338,67,48,270,,4,5089,4582,4,413,207,57,116,16,3,1,10,,3,116,294,3,4.27,85,0.89,609,6.72,1,0.24,7,1.72
8/2/2020,CO,Denver County,County,9729,2967,914,5117,340,68,48,272,,3,5117,4609,3,413,207,57,116,16,3,1,10,,3,116,294,3,4.25,54,0.56,,,0,0,,
8/3/2020,CO,Denver County,County,9783,2983,919,5145,342,68,48,273,,5,5145,4633,5,416,207,56,119,16,3,1,10,,4,119,293,4,4.25,54,0.56,549,5.95,3,0.73,6,1.46
8/4/2020,CO,Denver County,County,9828,2987,914,5199,343,68,49,265,,3,5199,4626,3,417,207,57,120,16,3,1,10,,3,120,294,3,4.24,45,0.46,463,4.94,1,0.24,7,1.71
8/5/2020,CO,Denver County,County,9894,3007,920,5224,356,69,49,267,,2,5224,4668,2,417,206,57,121,15,3,1,10,,4,121,292,4,4.21,66,0.67,464,4.92,0,0,6,1.46
8/6/2020,CO,Denver County,County,9894,3007,910,5233,356,69,49,267,,3,5233,4658,3,417,206,57,121,15,3,1,10,,4,121,292,4,4.21,0,0,410,4.32,0,0,6,1.46
8/7/2020,CO,Denver County,County,10075,3052,926,5339,352,70,50,282,,4,5339,4732,4,418,207,57,121,15,3,1,10,,4,121,293,4,4.15,181,1.83,485,5.06,1,0.24,6,1.46
8/8/2020,CO,Denver County,County,10121,3066,931,5364,354,70,50,283,,3,5364,4754,3,418,207,57,121,15,3,1,10,,4,121,293,4,4.13,46,0.46,446,4.61,0,0,5,1.21
8/10/2020,CO,Denver County,County,10174,3092,925,5392,356,71,50,284,,4,5392,4778,4,419,207,57,121,15,3,1,10,,5,121,293,5,4.12,,,391,4,,,3,0.72
8/11/2020,CO,Denver County,County,10241,3123,931,5417,358,71,51,286,,4,5417,4820,4,419,207,57,121,15,3,1,10,,5,121,293,5,4.09,67,0.66,413,4.2,0,0,2,0.48
8/12/2020,CO,Denver County,County,10285,3136,935,5440,359,71,51,287,,6,5440,4839,6,420,208,57,122,15,3,1,10,,4,122,294,4,4.08,44,0.43,391,3.95,1,0.24,3,0.72
8/13/2020,CO,Denver County,County,10327,3149,939,5462,361,72,51,289,,4,5462,4861,4,420,208,57,122,15,3,1,10,,4,122,294,4,4.07,42,0.41,433,4.38,0,0,3,0.72
8/14/2020,CO,Denver County,County,10425,3200,938,5514,364,62,52,291,,4,5514,4907,4,420,208,57,122,15,3,1,10,,4,122,294,4,4.03,98,0.95,350,3.47,0,0,2,0.48
8/15/2020,CO,Denver County,County,10476,3216,942,5541,366,62,52,293,,4,5541,4931,4,420,208,57,122,15,3,1,10,,4,122,294,4,4.01,51,0.49,355,3.51,0,0,2,0.48
8/16/2020,CO,Denver County,County,10485,3218,943,5546,366,62,52,293,,5,5546,4934,5,420,208,57,122,15,3,1,10,,4,122,294,4,4.01,9,0.09,,,0,0,,
8/17/2020,CO,Denver County,County,10552,3250,939,5582,369,63,52,295,,2,5582,4968,2,426,210,59,123,16,3,1,10,,4,123,299,4,4.04,67,0.64,378,3.72,6,1.43,7,1.67
8/18/2020,CO,Denver County,County,10601,3296,911,5639,360,63,53,296,,,5639,4979,,426,210,59,123,16,3,1,10,,4,123,299,4,4.02,49,0.46,360,3.52,0,0,7,1.67
8/19/2020,CO,Denver County,County,10644,3288,915,5662,361,63,42,298,,15,5662,4967,15,426,209,59,125,16,3,1,10,,3,125,298,3,4,43,0.41,359,3.49,0,0,6,1.43
8/20/2020,CO,Denver County,County,10653,3281,905,5699,362,63,42,298,,3,5699,4951,3,426,209,59,125,16,3,1,10,,3,125,298,3,4,9,0.08,326,3.16,0,0,6,1.43
8/21/2020,CO,Denver County,County,10725,3303,911,5737,353,64,42,300,,15,5737,4973,15,426,209,59,125,16,3,1,10,,3,125,298,3,3.97,72,0.68,300,2.88,0,0,6,1.43
8/22/2020,CO,Denver County,County,10775,3318,915,5764,355,64,43,301,,15,5764,4996,15,426,209,59,125,16,3,1,10,,3,125,298,3,3.95,50,0.47,299,2.85,0,0,6,1.43
8/23/2020,CO,Denver County,County,10823,3333,919,5790,357,64,43,303,,14,5790,5019,14,426,209,59,125,16,3,1,10,,3,125,298,3,3.94,48,0.45,338,3.22,0,0,6,1.43
8/24/2020,CO,Denver County,County,10931,3366,929,5859,360,65,43,306,,3,5859,5069,3,426,208,58,126,16,3,1,10,,4,126,296,4,3.9,108,1,379,3.59,0,0,0,0
8/25/2020,CO,Denver County,County,10937,3357,929,5862,360,65,43,317,,4,5862,5071,4,426,208,58,126,16,3,1,10,,4,126,296,4,3.9,6,0.05,336,3.17,0,0,0,0
8/26/2020,CO,Denver County,County,10980,3381,922,5885,362,65,43,318,,4,5885,5091,4,426,208,58,126,16,3,1,10,,4,126,296,4,3.88,43,0.39,336,3.16,0,0,0,0
8/27/2020,CO,Denver County,County,11053,3393,928,5935,364,66,44,320,,3,5935,5115,3,428,211,58,126,15,3,1,10,,4,126,298,4,3.87,73,0.66,400,3.75,2,0.47,2,0.47
8/28/2020,CO,Denver County,County,11105,3409,932,5963,366,66,44,322,,3,5963,5139,3,429,211,58,126,15,3,1,10,,5,126,298,5,3.86,52,0.47,380,3.54,1,0.23,3,0.7
8/29/2020,CO,Denver County,County,11105,3409,932,5963,366,66,44,322,,3,5963,5139,3,429,211,58,126,15,3,1,10,,5,126,298,5,3.86,0,0,330,3.06,0,0,3,0.7
8/31/2020,CO,Denver County,County,11216,3443,930,6034,370,67,56,325,,,6034,5191,,434,212,58,131,16,3,1,10,,3,131,300,3,3.87,,,285,2.61,,,8,1.88
9/1/2020,CO,Denver County,County,11261,3457,934,6058,371,67,56,326,,,6058,5211,,434,212,58,131,16,3,1,10,,3,131,300,3,3.85,45,0.4,324,2.96,0,0,8,1.88
9/2/2020,CO,Denver County,County,11281,3429,925,6125,360,67,56,327,,,6125,5164,,434,206,56,139,15,3,1,10,,4,139,291,4,3.85,20,0.18,301,2.74,0,0,8,1.88
9/3/2020,CO,Denver County,County,11321,3441,928,6147,362,67,45,328,,3,6147,5171,3,434,206,56,139,15,3,1,10,,4,139,291,4,3.83,40,0.35,268,2.42,0,0,6,1.4
9/4/2020,CO,Denver County,County,11390,3462,922,6184,364,68,45,330,,15,6184,5191,15,434,206,56,139,15,3,1,10,,4,139,291,4,3.81,69,0.61,285,2.57,0,0,5,1.17
9/6/2020,CO,Denver County,County,11421,3471,925,6213,365,68,45,331,,3,6213,5205,3,434,206,56,139,15,3,1,10,,4,139,291,4,3.8,,,,,,,,
9/7/2020,CO,Denver County,County,11504,3497,931,6246,368,69,46,333,,14,6246,5244,14,434,206,56,139,15,3,1,10,,4,139,291,4,3.77,83,0.73,288,2.57,0,0,0,0
9/8/2020,CO,Denver County,County,11512,3511,932,6262,368,69,46,333,,,6262,5259,,434,206,56,139,15,3,1,10,,4,139,291,4,3.77,8,0.07,251,2.23,0,0,0,0
9/9/2020,CO,Denver County,County,11539,3519,923,6277,369,69,46,334,,2,6277,5260,2,434,206,56,139,15,3,1,10,,4,139,291,4,3.76,27,0.23,258,2.29,0,0,0,0
9/10/2020,CO,Denver County,County,11596,3536,927,6308,371,69,46,336,,3,6308,5285,3,434,206,56,139,15,3,1,10,,4,139,291,4,3.74,57,0.49,275,2.43,0,0,0,0
9/11/2020,CO,Denver County,County,11669,3570,933,6347,373,70,46,338,,,6347,5330,,434,206,56,139,15,3,1,10,,4,139,291,4,3.72,73,0.63,279,2.45,0,0,0,0
9/12/2020,CO,Denver County,County,11668,3570,933,6347,373,70,46,338,,,6347,5330,,434,206,56,139,15,3,1,10,,4,139,291,4,3.72,-1,-0.01,,,0,0,,
9/13/2020,CO,Denver County,County,11791,3608,943,6414,377,70,47,341,,,6414,5386,,434,206,56,139,15,3,1,10,,4,139,291,4,3.68,123,1.05,370,3.24,0,0,0,0
9/14/2020,CO,Denver County,County,11871,3656,937,6434,379,71,47,344,,3,6434,5434,3,437,208,56,140,15,3,1,10,,4,140,293,4,3.68,80,0.68,367,3.19,3,0.69,3,0.69
9/15/2020,CO,Denver County,County,11946,3703,943,6450,382,59,47,346,,16,6450,5480,16,437,208,56,140,15,3,1,10,,4,140,293,4,3.66,75,0.63,434,3.77,0,0,3,0.69
9/16/2020,CO,Denver County,County,12041,3744,939,6490,385,60,48,349,,26,6490,5525,26,437,208,56,140,15,3,1,10,,4,140,293,4,3.63,95,0.8,502,4.35,0,0,3,0.69
9/23/2020,CO,Denver County,County,12591,3966,969,6773,402,62,50,352,,17,6773,5801,17,440,208,56,143,15,3,1,11,,3,143,294,3,3.49,,,550,4.57,,,3,0.69
9/30/2020,CO,Denver County,County,13404,4249,991,7238,415,80,53,375,,3,7238,6163,3,441,208,56,143,15,3,1,11,,4,143,294,4,3.29,,,813,6.46,,,1,0.23
